"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
2.7,1.8,22,15,9,0,123,68,50,57,1.80882352941176,1900,1570.37037037037,2355.55555555556,20,0.121599027207782
3.1,2.1,25,17,10,0,123,69,50,57,1.78260869565217,1920,1367.74193548387,2019.04761904762,20,0.121599027207782
3.3,2.2,26,18,10,0,125,71,50,58,1.76056338028169,1940,1309.09090909091,1963.63636363636,20,0.121599027207782
3.8,2.6,30,21,6,0,125,72,49,58,1.73611111111111,1960,1136.84210526316,1661.53846153846,20,0.121599027207782
3.7,2.5,29,20,8,0,125,70,49,57,1.78571428571429,1980,1145.94594594595,1696,20,0.121599027207782
3.6,2.5,29,20,8,0,125,69,49,56,1.81159420289855,2000,1155.55555555556,1664,20,0.121599027207782
3.7,2.5,30,20,11,0,124,70,48,57,1.77142857142857,2020,1145.94594594595,1696,20,0.121599027207782
3.4,2.3,28,19,8,0,123,70,49,56,1.75714285714286,2040,1223.52941176471,1808.69565217391,20,0.121599027207782
3.2,2.2,27,18,10,0,119,70,49,57,1.7,2060,1325,1927.27272727273,20,0.121599027207782
3.5,2.4,28,19,7,0,125,70,49,57,1.78571428571429,2080,1211.42857142857,1766.66666666667,20,0.121599027207782
3.5,2.4,28,19,8,0,126,71,49,57,1.77464788732394,2100,1211.42857142857,1766.66666666667,20,0.121599027207782
3.5,2.4,28,19,7,0,125,69,49,56,1.81159420289855,2120,1188.57142857143,1733.33333333333,20,0.121599027207782
3.6,2.5,29,20,8,0,125,70,49,57,1.78571428571429,2140,1177.77777777778,1696,20,0.121599027207782
3.5,2.4,29,20,6,0,123,70,49,57,1.75714285714286,2160,1211.42857142857,1766.66666666667,20,0.121599027207782
3.7,2.6,30,21,6,0,124,77,52,61,1.61038961038961,2180,1232.43243243243,1753.84615384615,20,0.121599027207782
3.6,2.4,29,20,8,0,124,74,50,59,1.67567567567568,2200,1222.22222222222,1833.33333333333,20,0.121599027207782
3.3,2.3,27,18,9,0,123,69,48,57,1.78260869565217,2220,1284.84848484848,1843.47826086957,20,0.121599027207782
3.4,2.3,27,19,8,0,124,71,49,57,1.74647887323944,2240,1247.05882352941,1843.47826086957,20,0.121599027207782
3.4,2.4,28,19,9,0,125,71,48,57,1.76056338028169,2260,1247.05882352941,1766.66666666667,20,0.121599027207782
