"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
3.6,2.4,27,18,4,0,132,92,62,75,1.43478260869565,13300,1577.77777777778,2366.66666666667,30,0.182398540811674
3.5,2.4,27,18,3,0,132,90,62,74,1.46666666666667,13320,1600,2333.33333333333,30,0.182398540811674
3.7,2.5,28,19,5,0,132,91,62,75,1.45054945054945,13340,1535.13513513513,2272,30,0.182398540811674
3.7,2.5,28,19,2,0,132,91,62,74,1.45054945054945,13360,1513.51351351351,2240,30,0.182398540811674
3.6,2.4,27,19,4,0,131,90,62,74,1.45555555555556,13380,1555.55555555556,2333.33333333333,30,0.182398540811674
3.7,2.5,28,19,6,0,132,92,62,75,1.43478260869565,13400,1535.13513513513,2272,30,0.182398540811674
3.6,2.5,27,18,4,0,133,93,64,76,1.43010752688172,13420,1600,2304,30,0.182398540811674
3.5,2.4,27,18,3,0,132,92,62,75,1.43478260869565,13440,1622.85714285714,2366.66666666667,30,0.182398540811674
3.5,2.4,26,18,4,0,131,92,62,75,1.42391304347826,13460,1622.85714285714,2366.66666666667,30,0.182398540811674
3.6,2.5,28,19,3,0,131,93,63,76,1.40860215053763,13480,1600,2304,30,0.182398540811674
3.6,2.5,28,19,4,0,132,93,62,75,1.41935483870968,13500,1577.77777777778,2272,30,0.182398540811674
3.7,2.5,28,19,5,0,132,93,62,75,1.41935483870968,13520,1535.13513513513,2272,30,0.182398540811674
3.9,2.7,29,20,4,0,133,91,60,73,1.46153846153846,13540,1415.38461538462,2044.44444444444,30,0.182398540811674
3.6,2.5,28,19,4,0,131,89,59,72,1.47191011235955,13560,1511.11111111111,2176,30,0.182398540811674
3.3,2.3,26,18,5,0,126,84,57,68,1.5,13580,1551.51515151515,2226.08695652174,30,0.182398540811674
3.6,2.5,27,19,4,0,132,88,60,72,1.5,13600,1511.11111111111,2176,30,0.182398540811674
3.7,2.5,27,19,4,0,133,90,60,73,1.47777777777778,13620,1491.89189189189,2208,30,0.182398540811674
3.7,2.5,28,19,5,0,133,91,61,74,1.46153846153846,13640,1513.51351351351,2240,30,0.182398540811674
3.6,2.5,27,18,3,0,132,90,60,73,1.46666666666667,13660,1533.33333333333,2208,30,0.182398540811674
3.5,2.4,27,18,6,0,130,89,60,73,1.46067415730337,13680,1577.14285714286,2300,30,0.182398540811674
3.7,2.5,28,19,4,0,132,90,60,73,1.46666666666667,13700,1491.89189189189,2208,30,0.182398540811674
3.6,2.5,27,18,5,0,132,90,61,73,1.46666666666667,13720,1533.33333333333,2208,30,0.182398540811674
3.7,2.6,28,19,5,0,132,92,61,74,1.43478260869565,13740,1513.51351351351,2153.84615384615,30,0.182398540811674
3.8,2.6,29,20,5,0,132,92,61,74,1.43478260869565,13760,1473.68421052632,2153.84615384615,30,0.182398540811674
2.7,1.9,20,14,5,0,132,84,62,71,1.57142857142857,13780,1985.18518518518,2821.05263157895,30,0.182398540811674
3.9,2.7,30,20,5,0,132,90,60,73,1.46666666666667,13800,1415.38461538462,2044.44444444444,30,0.182398540811674
4,2.7,30,21,4,0,132,94,62,75,1.40425531914894,13820,1420,2103.7037037037,30,0.182398540811674
4,2.7,30,21,4,0,133,94,62,75,1.41489361702128,13840,1420,2103.7037037037,30,0.182398540811674
3.9,2.7,29,20,3,0,132,92,61,74,1.43478260869565,13860,1435.89743589744,2074.07407407407,30,0.182398540811674
3.7,2.5,28,19,4,0,131,90,60,73,1.45555555555556,13880,1491.89189189189,2208,30,0.182398540811674
3.7,2.5,28,19,5,0,131,91,61,74,1.43956043956044,13900,1513.51351351351,2240,30,0.182398540811674
3.7,2.5,28,19,5,0,131,90,61,73,1.45555555555556,13920,1491.89189189189,2208,30,0.182398540811674
3.7,2.5,28,19,3,0,132,91,60,73,1.45054945054945,13940,1491.89189189189,2208,30,0.182398540811674
3.6,2.5,28,19,3,0,132,89,60,73,1.48314606741573,13960,1533.33333333333,2208,30,0.182398540811674
3.7,2.5,28,19,5,0,131,92,62,75,1.42391304347826,13980,1535.13513513513,2272,30,0.182398540811674
3.7,2.5,28,19,5,0,131,92,62,75,1.42391304347826,14000,1535.13513513513,2272,30,0.182398540811674
3.5,2.4,27,18,5,0,131,80,56,66,1.6375,14100,1417.14285714286,2066.66666666667,30,0.182398540811674
3.9,2.7,30,20,5,0,132,86,58,70,1.53488372093023,14120,1353.84615384615,1955.55555555556,30,0.182398540811674
3.8,2.6,29,20,5,0,132,87,58,71,1.51724137931034,14140,1410.52631578947,2061.53846153846,30,0.182398540811674
3.5,2.4,27,18,6,0,131,89,60,72,1.47191011235955,14160,1554.28571428571,2266.66666666667,30,0.182398540811674
3.5,2.4,27,18,4,0,132,88,59,71,1.5,14180,1531.42857142857,2233.33333333333,30,0.182398540811674
3.6,2.4,27,18,4,0,132,89,60,73,1.48314606741573,14200,1533.33333333333,2300,30,0.182398540811674
3.6,2.5,28,19,4,0,132,88,59,72,1.5,14220,1511.11111111111,2176,30,0.182398540811674
3.6,2.5,28,19,3,0,131,87,58,71,1.50574712643678,14240,1488.88888888889,2144,30,0.182398540811674
3.7,2.5,28,19,5,0,131,86,58,70,1.52325581395349,14260,1427.02702702703,2112,30,0.182398540811674
3.6,2.5,28,19,3,0,131,87,59,71,1.50574712643678,14280,1488.88888888889,2144,30,0.182398540811674
3.7,2.5,28,19,4,0,131,87,59,71,1.50574712643678,14300,1448.64864864865,2144,30,0.182398540811674
3.5,2.4,27,18,4,0,131,88,60,72,1.48863636363636,14320,1554.28571428571,2266.66666666667,30,0.182398540811674
3.5,2.4,27,18,4,0,131,88,59,72,1.48863636363636,14340,1554.28571428571,2266.66666666667,30,0.182398540811674
3.5,2.4,27,18,4,0,131,90,61,73,1.45555555555556,14360,1577.14285714286,2300,30,0.182398540811674
3.7,2.5,28,19,5,0,132,92,61,75,1.43478260869565,14380,1535.13513513513,2272,30,0.182398540811674
3.8,2.6,29,20,4,0,133,87,58,71,1.52873563218391,14400,1410.52631578947,2061.53846153846,30,0.182398540811674
3.7,2.5,28,19,3,0,132,91,61,74,1.45054945054945,14420,1513.51351351351,2240,30,0.182398540811674
3.7,2.5,28,19,3,0,132,91,61,74,1.45054945054945,14440,1513.51351351351,2240,30,0.182398540811674
3.8,2.6,29,20,4,0,133,93,62,75,1.43010752688172,14460,1494.73684210526,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,132,93,62,75,1.41935483870968,14480,1494.73684210526,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,132,93,62,75,1.41935483870968,14500,1494.73684210526,2184.61538461538,30,0.182398540811674
3.9,2.6,29,20,4,0,132,93,62,75,1.41935483870968,14520,1456.41025641026,2184.61538461538,30,0.182398540811674
3.9,2.7,29,20,4,0,133,93,62,75,1.43010752688172,14540,1456.41025641026,2103.7037037037,30,0.182398540811674
3.9,2.7,29,20,4,0,133,93,61,75,1.43010752688172,14560,1456.41025641026,2103.7037037037,30,0.182398540811674
3.8,2.6,29,20,3,0,132,92,61,74,1.43478260869565,14580,1473.68421052632,2153.84615384615,30,0.182398540811674
3.8,2.6,29,20,4,0,132,92,62,75,1.43478260869565,14600,1494.73684210526,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,133,93,62,75,1.43010752688172,14620,1494.73684210526,2184.61538461538,30,0.182398540811674
3.9,2.6,29,20,5,0,133,93,62,75,1.43010752688172,14640,1456.41025641026,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,132,94,62,76,1.40425531914894,14660,1515.78947368421,2215.38461538462,30,0.182398540811674
3.8,2.6,29,20,4,0,133,94,63,76,1.41489361702128,14680,1515.78947368421,2215.38461538462,30,0.182398540811674
3.8,2.6,29,20,4,0,132,93,62,75,1.41935483870968,14700,1494.73684210526,2184.61538461538,30,0.182398540811674
3.9,2.6,29,20,5,0,132,93,62,76,1.41935483870968,14720,1476.92307692308,2215.38461538462,30,0.182398540811674
3.9,2.7,30,20,4,0,132,93,62,75,1.41935483870968,14740,1456.41025641026,2103.7037037037,30,0.182398540811674
3.8,2.6,29,20,4,0,131,93,62,76,1.40860215053763,14760,1515.78947368421,2215.38461538462,30,0.182398540811674
3.9,2.6,29,20,4,0,133,93,62,75,1.43010752688172,14780,1456.41025641026,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,7,0,133,94,63,76,1.41489361702128,14800,1515.78947368421,2215.38461538462,30,0.182398540811674
3.9,2.6,29,20,3,0,133,93,62,75,1.43010752688172,14820,1456.41025641026,2184.61538461538,30,0.182398540811674
3.9,2.7,29,20,4,0,132,94,63,76,1.40425531914894,14840,1476.92307692308,2133.33333333333,30,0.182398540811674
3.9,2.6,29,20,4,0,133,93,62,75,1.43010752688172,14860,1456.41025641026,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,133,95,63,76,1.4,14880,1515.78947368421,2215.38461538462,30,0.182398540811674
4,2.7,30,20,3,0,133,94,62,76,1.41489361702128,14900,1440,2133.33333333333,30,0.182398540811674
3.9,2.6,29,20,3,0,132,94,62,76,1.40425531914894,14920,1476.92307692308,2215.38461538462,30,0.182398540811674
4,2.8,30,21,4,0,132,97,64,78,1.36082474226804,14940,1480,2114.28571428571,30,0.182398540811674
4.1,2.8,31,21,3,0,133,96,63,77,1.38541666666667,14960,1424.39024390244,2085.71428571429,30,0.182398540811674
4,2.7,30,21,3,0,133,95,63,77,1.4,14980,1460,2162.96296296296,30,0.182398540811674
4,2.7,30,21,5,0,133,94,62,76,1.41489361702128,15000,1440,2133.33333333333,30,0.182398540811674
3.9,2.7,30,20,4,0,132,94,62,76,1.40425531914894,15020,1476.92307692308,2133.33333333333,30,0.182398540811674
4,2.7,30,21,5,0,133,99,65,79,1.34343434343434,15040,1500,2222.22222222222,30,0.182398540811674
4.1,2.8,31,21,7,0,134,95,62,76,1.41052631578947,15060,1404.87804878049,2057.14285714286,30,0.182398540811674
4,2.7,30,20,3,0,133,94,63,76,1.41489361702128,15080,1440,2133.33333333333,30,0.182398540811674
3.7,2.5,28,19,5,0,132,97,64,78,1.36082474226804,15100,1600,2368,30,0.182398540811674
3.6,2.5,27,19,3,0,133,97,64,78,1.37113402061856,15120,1644.44444444444,2368,30,0.182398540811674
3.8,2.6,29,20,4,0,133,97,64,78,1.37113402061856,15140,1557.89473684211,2276.92307692308,30,0.182398540811674
3.8,2.6,29,20,3,0,132,96,64,78,1.375,15160,1557.89473684211,2276.92307692308,30,0.182398540811674
3.8,2.6,29,20,4,0,132,94,63,76,1.40425531914894,15180,1515.78947368421,2215.38461538462,30,0.182398540811674
3.8,2.6,29,20,5,0,132,95,63,77,1.38947368421053,15200,1536.84210526316,2246.15384615385,30,0.182398540811674
3.9,2.6,29,20,3,0,132,94,63,76,1.40425531914894,15220,1476.92307692308,2215.38461538462,30,0.182398540811674
3.9,2.7,30,20,4,0,132,94,63,76,1.40425531914894,15240,1476.92307692308,2133.33333333333,30,0.182398540811674
3.9,2.7,30,20,4,0,133,96,64,78,1.38541666666667,15260,1517.94871794872,2192.59259259259,30,0.182398540811674
4,2.7,30,21,5,0,132,93,62,75,1.41935483870968,15280,1420,2103.7037037037,30,0.182398540811674
3.8,2.6,29,20,4,0,131,94,63,76,1.3936170212766,15300,1515.78947368421,2215.38461538462,30,0.182398540811674
3.7,2.5,29,20,5,0,128,94,63,76,1.36170212765957,15320,1556.75675675676,2304,30,0.182398540811674
3.9,2.6,29,20,5,0,132,92,62,75,1.43478260869565,15340,1456.41025641026,2184.61538461538,30,0.182398540811674
3.9,2.7,30,20,5,0,132,94,63,76,1.40425531914894,15360,1476.92307692308,2133.33333333333,30,0.182398540811674
4,2.8,31,21,5,0,132,94,62,76,1.40425531914894,15380,1440,2057.14285714286,30,0.182398540811674
3.9,2.7,30,20,5,0,132,94,63,76,1.40425531914894,15400,1476.92307692308,2133.33333333333,30,0.182398540811674
4,2.7,30,21,3,0,132,94,62,76,1.40425531914894,15420,1440,2133.33333333333,30,0.182398540811674
3.8,2.6,29,20,4,0,131,94,63,76,1.3936170212766,15440,1515.78947368421,2215.38461538462,30,0.182398540811674
3.6,2.5,28,19,5,0,132,96,64,77,1.375,15460,1622.22222222222,2336,30,0.182398540811674
3.6,2.5,27,19,4,0,132,94,63,76,1.40425531914894,15480,1600,2304,30,0.182398540811674
3.6,2.5,27,18,4,0,132,94,62,76,1.40425531914894,15500,1600,2304,30,0.182398540811674
3.5,2.4,27,18,4,0,132,93,62,75,1.41935483870968,15520,1622.85714285714,2366.66666666667,30,0.182398540811674
3.6,2.4,27,18,6,0,132,94,62,76,1.40425531914894,15540,1600,2400,30,0.182398540811674
3.6,2.5,27,18,3,0,132,94,62,76,1.40425531914894,15560,1600,2304,30,0.182398540811674
2.7,1.9,21,14,3,0,133,86,63,72,1.54651162790698,15580,2014.81481481481,2863.15789473684,30,0.182398540811674
3.9,2.7,29,20,4,0,133,93,62,76,1.43010752688172,15600,1476.92307692308,2133.33333333333,30,0.182398540811674
4,2.7,30,21,6,0,132,94,62,76,1.40425531914894,15620,1440,2133.33333333333,30,0.182398540811674
4,2.7,30,21,6,0,132,94,62,76,1.40425531914894,15640,1440,2133.33333333333,30,0.182398540811674
3.6,2.5,28,19,8,0,132,87,58,70,1.51724137931034,15680,1466.66666666667,2112,30,0.182398540811674
3.6,2.5,27,19,7,0,132,92,61,74,1.43478260869565,15700,1555.55555555556,2240,30,0.182398540811674
3.8,2.6,29,20,5,0,132,94,62,75,1.40425531914894,15720,1494.73684210526,2184.61538461538,30,0.182398540811674
4,2.7,30,20,4,0,133,96,63,77,1.38541666666667,15740,1460,2162.96296296296,30,0.182398540811674
4,2.7,30,20,6,0,133,95,63,76,1.4,15760,1440,2133.33333333333,30,0.182398540811674
3.9,2.7,29,20,5,0,132,93,61,75,1.41935483870968,15780,1456.41025641026,2103.7037037037,30,0.182398540811674
3.8,2.6,29,20,5,0,132,96,63,77,1.375,15800,1536.84210526316,2246.15384615385,30,0.182398540811674
3.8,2.6,29,20,3,0,133,95,63,76,1.4,15820,1515.78947368421,2215.38461538462,30,0.182398540811674
3.8,2.6,29,20,5,0,132,95,63,76,1.38947368421053,15840,1515.78947368421,2215.38461538462,30,0.182398540811674
3.9,2.7,29,20,4,0,133,94,63,76,1.41489361702128,15860,1476.92307692308,2133.33333333333,30,0.182398540811674
3.3,2.3,25,17,5,0,132,83,59,69,1.59036144578313,15940,1575.75757575758,2260.86956521739,30,0.182398540811674
3.6,2.4,27,18,5,0,132,87,60,72,1.51724137931034,15960,1511.11111111111,2266.66666666667,30,0.182398540811674
3.5,2.4,26,18,6,0,132,89,61,73,1.48314606741573,15980,1577.14285714286,2300,30,0.182398540811674
3.8,2.6,29,20,7,0,132,90,61,74,1.46666666666667,16000,1473.68421052632,2153.84615384615,30,0.182398540811674
3.8,2.6,29,20,4,0,131,91,62,75,1.43956043956044,16020,1494.73684210526,2184.61538461538,30,0.182398540811674
3.8,2.6,29,20,4,0,132,91,62,74,1.45054945054945,16040,1473.68421052632,2153.84615384615,30,0.182398540811674
3.8,2.6,29,20,4,0,132,91,62,75,1.45054945054945,16060,1494.73684210526,2184.61538461538,30,0.182398540811674
3.6,2.5,27,18,3,0,132,92,62,75,1.43478260869565,16080,1577.77777777778,2272,30,0.182398540811674
3.5,2.4,26,18,3,0,133,92,62,75,1.44565217391304,16100,1622.85714285714,2366.66666666667,30,0.182398540811674
3.5,2.4,26,18,3,0,133,92,62,75,1.44565217391304,16120,1622.85714285714,2366.66666666667,30,0.182398540811674
3.6,2.5,28,19,3,0,131,95,64,77,1.37894736842105,16140,1622.22222222222,2336,30,0.182398540811674
3.6,2.5,27,19,3,0,132,91,61,74,1.45054945054945,16160,1555.55555555556,2240,30,0.182398540811674
3.5,2.4,26,18,5,0,133,94,64,77,1.41489361702128,16180,1668.57142857143,2433.33333333333,30,0.182398540811674
3.5,2.4,27,18,4,0,133,92,62,75,1.44565217391304,16200,1622.85714285714,2366.66666666667,30,0.182398540811674
3.6,2.4,27,18,4,0,133,94,63,76,1.41489361702128,16220,1600,2400,30,0.182398540811674
3.7,2.5,28,19,6,0,133,93,63,75,1.43010752688172,16240,1535.13513513513,2272,30,0.182398540811674
3.7,2.5,28,19,4,0,132,94,63,76,1.40425531914894,16260,1556.75675675676,2304,30,0.182398540811674
3.6,2.4,27,18,4,0,132,93,62,75,1.41935483870968,16280,1577.77777777778,2366.66666666667,30,0.182398540811674
3.6,2.5,28,19,4,0,132,93,63,76,1.41935483870968,16300,1600,2304,30,0.182398540811674
3.6,2.4,27,18,4,0,132,93,63,76,1.41935483870968,16320,1600,2400,30,0.182398540811674
3.5,2.4,27,18,6,0,132,94,63,76,1.40425531914894,16340,1645.71428571429,2400,30,0.182398540811674
3.7,2.5,28,19,4,0,132,94,63,76,1.40425531914894,16360,1556.75675675676,2304,30,0.182398540811674
3.6,2.5,27,19,4,0,132,94,63,76,1.40425531914894,16380,1600,2304,30,0.182398540811674
3.8,2.6,29,20,4,0,132,95,64,77,1.38947368421053,16400,1536.84210526316,2246.15384615385,30,0.182398540811674
3.6,2.5,27,18,4,0,132,92,63,75,1.43478260869565,16420,1577.77777777778,2272,30,0.182398540811674
3.5,2.4,27,18,3,0,130,92,62,75,1.41304347826087,16440,1622.85714285714,2366.66666666667,30,0.182398540811674
3.8,2.6,28,19,6,0,133,93,63,76,1.43010752688172,16460,1515.78947368421,2215.38461538462,30,0.182398540811674
3.7,2.5,28,19,5,0,133,95,64,77,1.4,16480,1578.37837837838,2336,30,0.182398540811674
3.5,2.4,27,18,4,0,129,91,62,74,1.41758241758242,16500,1600,2333.33333333333,30,0.182398540811674
3.4,2.3,26,18,4,0,131,91,62,75,1.43956043956044,16520,1670.58823529412,2469.5652173913,30,0.182398540811674
3.5,2.4,26,18,3,0,132,92,62,75,1.43478260869565,16540,1622.85714285714,2366.66666666667,30,0.182398540811674
3.6,2.5,27,19,4,0,132,93,63,76,1.41935483870968,16560,1600,2304,30,0.182398540811674
3.7,2.5,28,19,5,0,132,94,63,76,1.40425531914894,16580,1556.75675675676,2304,30,0.182398540811674
3.8,2.6,29,20,4,0,132,95,64,78,1.38947368421053,16600,1557.89473684211,2276.92307692308,30,0.182398540811674
3.8,2.6,29,20,4,0,132,94,63,76,1.40425531914894,16620,1515.78947368421,2215.38461538462,30,0.182398540811674
3.8,2.6,29,20,4,0,132,94,64,77,1.40425531914894,16640,1536.84210526316,2246.15384615385,30,0.182398540811674
3.8,2.6,28,19,5,0,132,94,64,77,1.40425531914894,16660,1536.84210526316,2246.15384615385,30,0.182398540811674
3.8,2.6,29,20,4,0,132,94,64,77,1.40425531914894,16680,1536.84210526316,2246.15384615385,30,0.182398540811674
3.8,2.6,29,20,4,0,132,95,64,77,1.38947368421053,16700,1536.84210526316,2246.15384615385,30,0.182398540811674
3.6,2.5,27,18,4,0,132,97,65,78,1.36082474226804,16720,1644.44444444444,2368,30,0.182398540811674
3.8,2.6,29,20,5,0,132,95,64,77,1.38947368421053,16740,1536.84210526316,2246.15384615385,30,0.182398540811674
3.8,2.6,29,20,4,0,132,96,64,78,1.375,16760,1557.89473684211,2276.92307692308,30,0.182398540811674
3.8,2.6,29,20,4,0,132,95,64,77,1.38947368421053,16780,1536.84210526316,2246.15384615385,30,0.182398540811674
3.9,2.7,30,20,6,0,132,95,64,77,1.38947368421053,16800,1497.4358974359,2162.96296296296,30,0.182398540811674
3.8,2.6,28,19,4,0,134,93,63,76,1.44086021505376,16820,1515.78947368421,2215.38461538462,30,0.182398540811674
4.1,2.8,30,21,5,0,134,94,61,75,1.42553191489362,16840,1385.36585365854,2028.57142857143,30,0.182398540811674
3.9,2.7,29,20,4,0,132,91,61,74,1.45054945054945,16860,1435.89743589744,2074.07407407407,30,0.182398540811674
3.8,2.6,28,19,4,0,132,89,60,72,1.48314606741573,16880,1431.57894736842,2092.30769230769,30,0.182398540811674
3.8,2.6,29,20,6,0,131,89,60,72,1.47191011235955,16900,1431.57894736842,2092.30769230769,30,0.182398540811674
3.8,2.6,29,20,4,0,132,91,61,74,1.45054945054945,16920,1473.68421052632,2153.84615384615,30,0.182398540811674
3.9,2.6,29,20,3,0,133,91,60,73,1.46153846153846,16940,1415.38461538462,2123.07692307692,30,0.182398540811674
3.9,2.6,29,20,4,0,132,92,61,74,1.43478260869565,16960,1435.89743589744,2153.84615384615,30,0.182398540811674
4,2.7,30,20,3,0,133,92,61,74,1.44565217391304,16980,1400,2074.07407407407,30,0.182398540811674
3.9,2.7,30,20,4,0,132,91,61,74,1.45054945054945,17000,1435.89743589744,2074.07407407407,30,0.182398540811674
4,2.7,30,20,4,0,132,92,61,75,1.43478260869565,17020,1420,2103.7037037037,30,0.182398540811674
4,2.7,30,21,7,0,132,92,61,74,1.43478260869565,17040,1400,2074.07407407407,30,0.182398540811674
4,2.7,30,21,3,0,132,92,61,74,1.43478260869565,17060,1400,2074.07407407407,30,0.182398540811674
3.9,2.7,30,20,4,0,132,92,61,74,1.43478260869565,17080,1435.89743589744,2074.07407407407,30,0.182398540811674
3.9,2.7,30,20,3,0,132,92,61,74,1.43478260869565,17100,1435.89743589744,2074.07407407407,30,0.182398540811674
3.9,2.7,30,20,4,0,131,92,61,74,1.42391304347826,17120,1435.89743589744,2074.07407407407,30,0.182398540811674
3.9,2.7,30,20,4,0,132,92,61,74,1.43478260869565,17140,1435.89743589744,2074.07407407407,30,0.182398540811674
2.4,1.6,19,13,9,0,127,63,51,56,2.01587301587302,17320,1733.33333333333,2600,30,0.182398540811674
2.4,1.6,19,13,8,0,127,61,50,55,2.08196721311475,17340,1700,2550,30,0.182398540811674
2.3,1.6,18,13,8,0,127,61,50,55,2.08196721311475,17360,1773.91304347826,2550,30,0.182398540811674
2.3,1.6,18,13,8,0,127,61,50,55,2.08196721311475,17380,1773.91304347826,2550,30,0.182398540811674
1.2,0.8,32,22,8,0,37,59,50,54,0.627118644067797,17400,3333.33333333333,5000,30,0.182398540811674
2.2,1.5,21,15,9,0,101,61,49,54,1.65573770491803,17420,1818.18181818182,2666.66666666667,30,0.182398540811674
2.6,1.8,21,14,12,0,124,61,49,54,2.0327868852459,17440,1538.46153846154,2222.22222222222,30,0.182398540811674
2.6,1.8,20,14,9,0,129,62,49,55,2.08064516129032,17460,1569.23076923077,2266.66666666667,30,0.182398540811674
3,2.1,23,16,4,0,131,66,50,57,1.98484848484848,17480,1413.33333333333,2019.04761904762,30,0.182398540811674
2.8,1.9,22,15,4,0,130,66,51,57,1.96969696969697,17500,1514.28571428571,2231.57894736842,30,0.182398540811674
2.9,2,22,15,5,0,130,67,51,58,1.94029850746269,17520,1489.65517241379,2160,30,0.182398540811674
2.8,1.9,21,15,4,0,132,67,51,58,1.97014925373134,17540,1542.85714285714,2273.68421052632,30,0.182398540811674
2.8,1.9,22,15,5,0,130,68,52,59,1.91176470588235,17560,1571.42857142857,2315.78947368421,30,0.182398540811674
2.7,1.8,20,14,3,0,130,66,51,57,1.96969696969697,17580,1570.37037037037,2355.55555555556,30,0.182398540811674
2.7,1.8,20,14,5,0,131,66,51,57,1.98484848484848,17600,1570.37037037037,2355.55555555556,30,0.182398540811674
2.7,1.8,21,14,5,0,130,66,52,58,1.96969696969697,17620,1600,2400,30,0.182398540811674
2.6,1.8,20,14,7,0,132,65,51,57,2.03076923076923,17640,1630.76923076923,2355.55555555556,30,0.182398540811674
2.6,1.8,20,14,5,0,129,65,52,57,1.98461538461538,17660,1630.76923076923,2355.55555555556,30,0.182398540811674
2.6,1.8,20,14,5,0,130,64,51,57,2.03125,17680,1630.76923076923,2355.55555555556,30,0.182398540811674
2.6,1.8,20,14,7,0,132,65,51,57,2.03076923076923,17700,1630.76923076923,2355.55555555556,30,0.182398540811674
2.6,1.8,20,13,7,0,131,67,53,59,1.95522388059702,17720,1692.30769230769,2444.44444444444,30,0.182398540811674
2.7,1.9,21,14,9,0,132,66,52,58,2,17740,1600,2273.68421052632,30,0.182398540811674
2.7,1.9,21,14,9,0,132,66,52,58,2,17760,1600,2273.68421052632,30,0.182398540811674
2.1,1.4,16,11,9,0,134,66,53,58,2.03030303030303,18120,2057.14285714286,3085.71428571429,30,0.182398540811674
2.6,1.8,20,14,7,0,129,61,49,54,2.11475409836066,18140,1538.46153846154,2222.22222222222,30,0.182398540811674
2.4,1.7,20,14,7,0,124,61,49,55,2.0327868852459,18160,1700,2400,30,0.182398540811674
2.9,2,23,16,8,0,125,66,51,57,1.89393939393939,18180,1462.06896551724,2120,30,0.182398540811674
2.7,1.9,21,15,6,0,128,67,52,58,1.91044776119403,18200,1600,2273.68421052632,30,0.182398540811674
2.7,1.8,21,14,8,0,129,66,51,57,1.95454545454545,18220,1570.37037037037,2355.55555555556,30,0.182398540811674
2.5,1.7,20,14,8,0,126,67,52,58,1.88059701492537,18240,1728,2541.17647058824,30,0.182398540811674
2.4,1.6,18,12,8,0,129,65,52,57,1.98461538461538,18260,1766.66666666667,2650,30,0.182398540811674
2.4,1.7,19,13,8,0,131,66,53,58,1.98484848484848,18280,1800,2541.17647058824,30,0.182398540811674
2.3,1.6,18,12,9,0,129,67,54,59,1.92537313432836,18300,1913.04347826087,2750,30,0.182398540811674
2.3,1.6,18,12,6,0,130,65,53,58,2,18320,1878.26086956522,2700,30,0.182398540811674
2.4,1.6,18,12,8,0,131,66,54,59,1.98484848484848,18340,1833.33333333333,2750,30,0.182398540811674
2.3,1.6,18,12,6,0,129,65,52,57,1.98461538461538,18360,1843.47826086957,2650,30,0.182398540811674
2.4,1.6,18,12,9,0,132,66,53,58,2,18380,1800,2700,30,0.182398540811674
2.3,1.6,18,12,10,0,129,66,53,58,1.95454545454545,18400,1878.26086956522,2700,30,0.182398540811674
2.4,1.6,18,12,9,0,131,66,53,58,1.98484848484848,18420,1800,2700,30,0.182398540811674
1.9,1.3,15,10,9,0,124,66,55,60,1.87878787878788,18440,2357.89473684211,3446.15384615385,30,0.182398540811674
2.5,1.7,20,14,9,0,125,59,47,52,2.11864406779661,18460,1536,2258.82352941176,30,0.182398540811674
2.4,1.6,19,13,7,0,124,69,54,60,1.79710144927536,18480,1866.66666666667,2800,30,0.182398540811674
2.4,1.6,19,13,9,0,129,68,54,60,1.89705882352941,18500,1866.66666666667,2800,30,0.182398540811674
2.2,1.5,17,11,9,0,134,67,55,61,2,18520,2072.72727272727,3040,30,0.182398540811674
2.3,1.6,17,12,9,0,133,68,55,60,1.95588235294118,18540,1947.82608695652,2800,30,0.182398540811674
2,1.3,16,11,9,0,126,69,57,62,1.82608695652174,18560,2320,3569.23076923077,30,0.182398540811674
2,1.3,16,11,9,0,126,69,57,62,1.82608695652174,18580,2320,3569.23076923077,30,0.182398540811674
2.8,1.9,22,15,0,0,125,62,48,54,2.01612903225806,18660,1428.57142857143,2105.26315789474,30,0.182398540811674
2.8,1.9,22,15,0,0,125,62,48,54,2.01612903225806,18680,1428.57142857143,2105.26315789474,30,0.182398540811674
2.8,1.9,23,15,5,0,124,64,50,56,1.9375,18700,1485.71428571429,2189.47368421053,30,0.182398540811674
2.7,1.8,22,15,5,0,125,66,52,58,1.89393939393939,18720,1600,2400,30,0.182398540811674
2,1.4,16,11,6,0,126,70,57,63,1.8,18740,2360,3371.42857142857,30,0.182398540811674
2.3,1.6,18,12,6,0,129,68,55,60,1.89705882352941,18760,1947.82608695652,2800,30,0.182398540811674
2.2,1.5,19,13,7,0,118,68,55,60,1.73529411764706,18780,2036.36363636364,2986.66666666667,30,0.182398540811674
2.1,1.4,16,11,6,0,127,68,56,61,1.86764705882353,18800,2171.42857142857,3257.14285714286,30,0.182398540811674
2.2,1.5,17,12,6,0,129,67,55,61,1.92537313432836,18820,2072.72727272727,3040,30,0.182398540811674
